U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC,ICE_DEPTH
4593,97370,83,5265.44,5265.44,0,1,29.48427711
4594,97371,83,5383.84,5383.84,0,1,32.26213724
4595,97372,83,5480.64,5480.64,0,1,22.16336708
4596,97373,83,5455.4,5401,0,0.04,8.94350338
4597,97432,146,5167.64,5171.57,0,0.28,5.283594166
4598,97433,146,5218.24,5223.81,0,0.64,7.173637509
4599,97434,146,5271.48,5265.13,0,0.92,7.513542538
4600,97435,146,5455.52,5340,0,0.04,2.55362606
4601,97436,176,5627.92,5744,0,0.04,8.699501038
4602,97437,176,5671.52,5669.3,0,0.92,47.16625919
4603,97438,176,5644.16,5644.78,0,0.92,95.77798014
4604,97439,176,5593.04,5653.33,0,0.24,56.53146585
4605,97542,269,5460,5379,0,0.04,5.394206047
4606,97543,269,5441.88,5405.63,0,0.32,15.97807443
4607,97544,269,5462.92,5426.2,0,0.2,13.84601402
4608,97545,275,5580.64,5604.86,0,0.28,59.0474344
4609,97545,269,5580.64,5599.5,0,0.08,8.181986094
4610,97546,275,5602.96,5602.96,0,1,112.2794142
4611,97547,275,5678.48,5678.48,0,1,41.12215919
4612,97548,275,5805.68,5805.68,0,1,37.60766899
4613,97549,275,5832.48,5832.48,0,1,32.41244957
4614,97550,275,5848,5848,0,1,24.36022446
4615,97551,275,5787,5787,0,1,24.94346512
4616,97552,275,5771.64,5771.64,0,1,26.29123413
4617,97553,275,5749.76,5749.76,0,1,33.67147736
4618,97554,275,5761.92,5761.92,0,1,35.40854393
4619,97555,275,6022.04,6004.3,0,0.8,16.5759937
4620,97641,83,5366.8,5351.07,0,0.56,25.42013747
4621,97642,83,5431.24,5431.24,0,1,28.40237009
4622,97643,88,5562.88,5581.67,0,0.12,43.62471835
4623,97643,83,5562.88,5550,0,0.32,14.55271041
4624,97644,88,5566.24,5555.72,0,0.72,35.31048722
4625,97645,88,5511.68,5509.3,0,0.92,26.56637826
4626,97646,88,5436.52,5436.52,0,1,16.40799862
4627,97647,88,5311.16,5311.63,0,0.96,16.73673817
4628,97648,88,5219.72,5248.67,0,0.12,15.14948797
4629,97705,146,5223.32,5242.33,0,0.12,2.696916739
4630,97709,177,5549.52,5444.6,0,0.2,3.137865114
4631,97710,177,5417.24,5346.29,0,0.28,3.643506595
4632,97814,270,5525.72,5473.29,0,0.28,6.531641279
4633,97815,270,5520.68,5494.27,0,0.6,7.246797132
4634,97816,270,5594.88,5557.6,0,0.2,6.117567635
4635,97816,275,5594.88,5580.4,0,0.2,21.40357075
4636,97817,275,5571.6,5571.6,0,1,83.53085785
4637,97818,275,5586.12,5586.12,0,1,49.74258484
4638,97819,275,5614.28,5614.28,0,1,28.62632065
4639,97820,275,5580.52,5580.52,0,1,30.62809547
4640,97821,275,5560.6,5560.6,0,1,40.37491135
4641,97822,275,5560.56,5560.56,0,1,59.49671677
4642,97823,275,5572.72,5572.72,0,1,80.84093124
4643,97824,275,5626.72,5626.72,0,1,55.24820816
4644,97825,275,5735.2,5735.2,0,1,33.26797173
4645,97826,275,5967.04,5935.42,0,0.48,11.46588377
4650,97916,88,5482.88,5482.88,0,1,29.34729584
4651,97917,88,5349.92,5350.79,0,0.96,22.10074162
4652,97918,88,5272.6,5272.6,0,1,31.48438377
4653,97919,88,5176.56,5176.19,0,0.64,15.59627384
4654,97920,88,5085.36,5064.83,0,0.48,30.73686043
4655,97921,88,5049.28,5035.67,0,0.6,54.1230999
4656,97922,88,5035.68,5027.2,0,0.4,73.10462494
4657,97923,88,5018.24,5024,0,0.04,25.41168976
4658,97979,177,5422.92,5400,0,0.16,4.266012132
4659,97980,177,5344.16,5339.29,0,0.96,12.40223447
4660,97981,177,5276.96,5276.96,0,1,19.46349004
4661,97982,177,5206.32,5242,0,0.44,7.057679393
4662,98085,270,5462.16,5419,0,0.04,3.377804041
4663,98086,270,5395.6,5394.95,0,0.84,18.3804715
4664,98087,270,5449.96,5449.96,0,1,12.59643911
4665,98088,270,5513.8,5491.43,0,0.28,7.453796727
4666,98088,275,5513.8,5522.5,0,0.72,31.93787593
4667,98089,275,5472.68,5472.68,0,1,41.84455475
4668,98090,275,5418.04,5418.04,0,1,34.71360001
4669,98091,275,5402.08,5402.08,0,1,33.10945679
4670,98092,275,5463.88,5463.88,0,1,51.32572769
4671,98093,275,5507.88,5507.88,0,1,78.34845398
4672,98094,275,5547.72,5547.72,0,1,84.14569305
4673,98095,275,5614.64,5614.64,0,1,58.08537338
4674,98096,275,5754.2,5754.2,0,1,38.18430923
4675,98097,275,5935.52,5877.15,0,0.52,14.19846964
4678,98187,88,5462.08,5462.08,0,1,24.6781406
4679,98188,88,5338,5359.94,0,0.64,13.8571279
4680,98189,88,5221.2,5217.7,0,0.92,21.83391443
4681,98190,88,5128,5126.55,0,0.88,24.42727251
4682,98191,88,5081.68,5084.38,0,0.84,37.11482348
4683,98192,88,5041.68,5035.5,0,0.56,61.96553843
4684,98193,88,5038.8,5023.86,0,0.56,91.134211
4685,98194,88,5073.44,5024.67,0,0.12,24.72589238
4686,98250,177,5342.32,5338.46,0,0.52,11.24486505
4687,98251,177,5291.92,5291.92,0,1,18.64237068
4688,98252,177,5229.56,5239.88,0,0.64,8.222946152
4689,98253,177,5123.6,5206,0,0.2,5.974816704
4690,98357,270,5334.52,5338.53,0,0.76,15.59891954
4691,98358,270,5375.32,5375.32,0,1,17.36955256
4692,98359,270,5402.36,5419.38,0,0.52,7.114247616
4693,98359,275,5402.36,5463,0,0.04,5.326519966
4694,98360,275,5335,5355.18,0,0.68,21.29427817
4695,98361,275,5277.84,5279,0,0.96,32.44297588
4696,98362,275,5254.16,5254.16,0,1,52.32205017
4697,98363,275,5323.12,5323.12,0,1,37.97397041
4698,98364,275,5411.24,5411.24,0,1,36.96330231
4699,98365,275,5496.68,5496.68,0,1,37.69555542
4700,98366,275,5629.96,5629.96,0,1,42.92788345
4701,98367,275,5745.88,5745.88,0,1,40.82600052
4702,98368,275,5930.24,5918.41,0,0.88,19.4058373
4704,98458,85,5410.84,5408.9,0,0.84,13.2097532
4705,98458,88,5410.84,5421,0,0.16,7.540326834
4706,98459,85,5333.28,5333.75,0,0.16,8.364083588
4707,98459,88,5333.28,5361.33,0,0.24,7.510946512
4708,98460,88,5243.04,5189.4,0,0.2,9.543552876
4709,98461,88,5173.6,5170,0,0.08,8.283055544
4710,98521,177,5330.68,5316.33,0,0.24,11.42046165
4711,98522,177,5268.28,5267.88,0,0.32,7.243882775
4712,98523,177,5215.16,5224,0,0.04,4.097162724
4713,98628,270,5232.88,5288,0,0.28,5.744396857
4714,98629,270,5255,5316,0,0.2,7.039511681
4715,98631,275,5182.6,5125,0,0.04,20.14334869
4716,98632,275,5174.24,5167.11,0,0.72,47.17991696
4717,98633,275,5183.64,5183.64,0,1,79.63287842
4718,98634,275,5210.64,5210.64,0,1,75.85261795
4719,98635,275,5250.28,5250.28,0,1,54.1265435
4720,98636,275,5390.36,5390.36,0,1,31.19194336
4721,98637,275,5559.52,5559.52,0,1,32.69199165
4722,98638,275,5728.84,5728.84,0,1,34.62613983
4723,98639,275,5886.88,5886.88,0,1,30.45832405
4724,98640,275,6004.32,5966.5,0,0.16,8.883482575
4725,98729,85,5336.04,5351.22,0,0.36,6.898644845
4726,98730,85,5274.12,5269,0,0.84,9.427733013
4727,98731,85,5214.52,5201,0,0.08,2.53166163
4728,98732,89,5192,5196,0,0.04,1.95355463
4729,98733,89,5223.64,5209.44,0,0.64,2.347511195
4730,98734,89,5236.24,5212.67,0,0.12,1.660532077
4731,98790,148,5316.44,5331.71,0,0.28,19.92441532
4732,98791,148,5345.4,5343.67,0,0.12,17.35117626
4733,98893,262,5604.68,5576.88,0,0.32,3.289591372
4734,98901,275,5124.76,5111,0,0.24,67.37029839
4735,98902,275,5117.12,5117.83,0,0.92,230.3389065
4736,98903,275,5125.4,5125.4,0,1,159.9725894
4737,98904,275,5151.8,5151.8,0,1,166.6760663
4738,98905,275,5178.44,5178.44,0,1,145.5004977
4739,98906,275,5199.48,5199.48,0,1,103.4697816
4740,98907,275,5301.16,5301.16,0,1,35.18649643
4741,98908,275,5509.84,5509.84,0,1,31.86774788
4742,98909,275,5695,5695,0,1,32.00054604
4743,98910,275,5836.92,5836.92,0,1,26.53601982
4744,98911,275,5979.12,5953.4,0,0.2,8.002695465
4746,98997,82,5480.64,5471.67,0,0.12,2.226414601
4747,99001,85,5193.56,5201.67,0,0.12,3.455431302
4748,99002,85,5084.48,5170,0,0.04,2.664486647
4749,99004,89,5131.36,5156,0,0.12,1.71601065
4750,99005,89,5178.44,5164.13,0,0.32,2.952557094
4751,99060,148,5248.12,5282.5,0,0.08,8.436898708
4752,99061,148,5317.04,5319.74,0,0.76,25.94993155
4753,99062,148,5377.48,5378.61,0,0.92,20.19162429
4754,99063,148,5455.84,5415.5,0,0.16,9.221604109
4755,99087,183,5290.96,5280.26,0,0.76,8.104268789
4756,99088,183,5395.52,5341.63,0,0.32,6.16514793
4757,99163,262,5489.24,5499.75,0,0.32,3.918618381
4758,99164,262,5524.48,5525.13,0,0.96,8.44759355
4759,99165,262,5502.08,5548,0,0.04,2.495105267
4760,99171,275,5081.12,5078.73,0,0.44,57.61094856
4761,99172,275,5092.36,5092.36,0,1,114.3865625
4762,99173,275,5100.24,5099.22,0,0.92,119.8478725
4763,99174,275,5131.28,5130.13,0,0.64,94.5006727
4764,99175,275,5161.44,5153.36,0,0.44,105.5157696
4765,99176,275,5185.44,5170.67,0,0.12,59.74335098
4766,99177,275,5233.28,5219.75,0,0.16,20.5968926
4767,99178,275,5324.68,5328.55,0,0.88,21.88506915
4768,99179,275,5490.16,5490.16,0,1,36.1705645
4769,99180,275,5595.84,5593.46,0,0.96,30.9969905
4770,99181,275,5818.76,5818.76,0,1,22.97180388
4771,99266,82,5500.16,5428.78,0,0.36,7.371797959
4772,99267,82,5418.24,5416.17,0,0.96,8.737988244
4773,99268,82,5344.96,5405.4,0,0.2,2.649027824
4774,99325,143,5263,5249.67,0,0.24,1.996620625
4775,99326,143,5301.92,5267,0,0.08,1.37596193
4776,99331,148,5319.76,5283,0,0.04,7.519035816
4777,99332,148,5322.32,5312.8,0,0.4,17.39037828
4778,99333,148,5447.32,5453.95,0,0.84,10.4906626
4779,99334,148,5559.88,5559.41,0,0.88,20.85834083
4780,99335,148,5609.4,5619.13,0,0.64,23.07699677
4781,99336,148,5498.8,5666,0,0.04,7.164167881
4782,99358,183,5284.44,5280,0,0.76,10.46705956
4783,99359,183,5360.24,5360.24,0,1,11.53223519
4784,99360,183,5408.08,5407.88,0,0.64,18.81735003
4785,99434,262,5417.72,5449.2,0,0.2,3.394781065
4786,99435,262,5424.04,5455.67,0,0.36,5.095303178
4787,99442,275,5060.68,5067.67,0,0.12,54.93586095
4788,99443,275,5080.24,5071.67,0,0.36,71.50790744
4789,99449,275,5354.36,5372.25,0,0.16,9.62388134
4790,99450,275,5483.28,5466.5,0,0.24,16.15300981
4791,99451,275,5691.16,5573.5,0,0.08,9.076703072
4792,99452,275,5874.4,5866.43,0,0.28,12.57497208
4793,99537,82,5437.04,5433.95,0,0.8,11.74937373
4794,99538,82,5399.16,5399.16,0,1,14.54036929
4795,99539,82,5352.4,5360.67,0,0.12,4.350825946
4796,99596,143,5248.12,5242.4,0,0.2,3.580028367
4797,99597,143,5311,5258,0,0.04,1.178194404
4798,99603,148,5416.8,5435.82,0,0.44,7.528479294
4799,99604,148,5527,5525.96,0,0.96,18.11637068
4800,99605,148,5573.76,5576.95,0,0.8,26.17832341
4801,99606,148,5608.4,5623.27,0,0.44,18.22439038
4802,99630,183,5383.68,5380.5,0,0.16,8.725443602
4803,99631,183,5463.36,5421,0,0.12,7.404479186
4804,99719,276,5395.8,5410.33,0,0.48,53.88532098
4805,99720,276,5413.6,5440.4,0,0.2,59.45416451
4806,99721,276,5503.64,5506.33,0,0.12,16.47134924
4807,99722,276,5712.24,5708.13,0,0.6,11.32520698
4808,99723,276,5908.44,5880.7,0,0.4,9.808007908
4809,99807,82,5542.36,5513,0,0.04,2.996804476
4810,99808,82,5448,5446.04,0,0.92,6.664564589
4811,99809,82,5368.24,5389.46,0,0.52,5.118968964
4812,99869,144,5414.56,5391.25,0,0.32,3.933334023
4813,99870,144,5411.96,5380,0,0.28,2.50555878
4814,99875,149,5423.4,5323.33,0,0.24,2.566879372
4815,99876,149,5398.88,5327,0,0.08,3.457432747
4816,99876,150,5398.88,5326.86,0,0.28,6.877201012
4817,99877,150,5372.96,5286.86,0,0.28,10.8702256
4818,99878,150,5251.64,5223.95,0,0.76,8.866919869
4819,99879,150,5185.8,5151.94,0,0.72,10.7340074
4820,99880,150,5155.8,5143.89,0,0.72,13.72815651
4821,99881,150,5175.76,5172.45,0,0.8,15.55167966
4822,99882,150,5256,5259.54,0,0.52,11.35307316
4823,99883,150,5344.68,5398.8,0,0.4,16.71176553
4824,99884,150,5367.84,5349.5,0,0.08,12.34975243
4825,99902,184,5337.56,5316.67,0,0.12,2.280863365
4826,99903,184,5454.52,5348.25,0,0.16,3.196098596
4827,99990,276,5423.96,5427.75,0,0.8,80.94211922
4828,99991,276,5444.04,5444.04,0,1,149.9755478
4829,99992,276,5483.48,5483.48,0,1,65.10075005
4830,99993,276,5573.52,5573.52,0,1,31.72977699
4831,99994,276,5832.24,5828.92,0,0.96,21.46514873
4832,99995,276,5895.68,5886,0,0.04,6.424372196
4834,100078,81,5565.52,5570.69,0,0.52,6.498994222
4835,100079,81,5451.08,5506.33,0,0.12,2.487734079
4836,100140,144,5276.04,5285,0,0.24,2.4918649
4837,100141,144,5267.88,5275.67,0,0.12,2.466328382
4838,100145,149,5319.2,5304.92,0,0.52,2.0447064
4839,100146,149,5266.92,5279.47,0,0.68,3.352489254
4840,100147,149,5266.68,5281.33,0,0.24,2.810204724
4841,100147,150,5266.68,5276.63,0,0.32,10.95411372
4842,100148,150,5227.36,5234.56,0,0.72,14.92973844
4843,100149,150,5135.72,5140.35,0,0.92,12.48346514
4844,100150,150,5051.52,5054.73,0,0.6,14.77857431
4845,100151,150,5016.04,5016.04,0,1,23.98671547
4846,100152,150,5081.4,5081.4,0,1,17.04096298
4847,100153,150,5222.4,5224.35,0,0.8,12.2666154
4848,100154,152,5357.24,5364,0,0.04,3.928529501
4849,100154,150,5357.24,5363.67,0,0.84,17.11300319
4850,100155,152,5406.8,5375.75,0,0.48,5.525052687
4851,100155,150,5406.8,5405.4,0,0.2,15.08674755
4852,100156,152,5425.16,5381,0,0.04,2.025251865
4853,100173,184,5238.24,5284,0,0.12,3.373969873
4854,100174,184,5344.52,5351.17,0,0.72,3.802973317
4855,100175,184,5420.8,5393.83,0,0.24,2.366637468
4856,100260,276,5399.88,5429.33,0,0.12,33.40331173
4857,100261,276,5437.4,5438.5,0,0.96,67.43994347
4858,100262,276,5463.36,5463.36,0,1,138.7949692
4859,100263,276,5489.64,5489.64,0,1,92.29763855
4860,100264,276,5573.04,5573.04,0,1,40.87633377
4861,100265,276,5777,5777,0,1,23.46658642
4862,100266,276,5857.32,5890.4,0,0.2,5.647908401
4865,100350,81,5506.28,5513.9,0,0.8,7.254589713
4866,100351,81,5370.68,5453,0,0.04,2.411121845
4867,100414,147,5353.16,5366.33,0,0.12,2.733251254
4868,100415,147,5354.32,5343.86,0,0.28,3.762058292
4869,100420,150,5050.36,5060,0,0.08,4.290202856
4870,100422,150,4937.4,4969,0,0.12,5.789087613
4871,100424,150,5069.28,5086,0,0.04,3.963319063
4872,100425,152,5182.08,5203.25,0,0.32,9.242140353
4873,100426,152,5252.56,5252.56,0,1,13.72087248
